Dataset,Classifier,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,train_time,test_time
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.8875,0.9175,0.8975,0.9,0.9,0.9004999999999999,0.009669539802906866,1.131971836090088,0.009179115295410156
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.5375,0.785,0.565,0.745,0.785,0.6835,0.10931148155614764,0.021924972534179688,0.007515907287597656
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.7925,0.815,0.7775,0.7725,0.7725,0.7859999999999999,0.016248076809271914,1.6932404041290283,0.008693933486938477
MeanWhile1,DecisionTree,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.84,0.86,0.8341176470588236,0.03990299656602368,0.015052318572998047,0.0061838626861572266
MeanWhile1,SVM,0.9019607843137255,0.8823529411764706,0.8823529411764706,0.9,0.9,0.8933333333333333,0.008993996032297839,0.010934829711914062,0.007244110107421875
MeanWhile1,KNN,0.8823529411764706,0.8627450980392157,0.8823529411764706,0.88,0.88,0.8774901960784314,0.0074472642951963494,0.00638127326965332,0.021201372146606445
MeanWhile1,LogisticRegression,0.8823529411764706,0.8627450980392157,0.8823529411764706,0.88,0.94,0.8894901960784314,0.026300133832362,0.9030458927154541,0.007790803909301758
MeanWhile1,Perceptron,0.09803921568627451,0.11764705882352941,0.8823529411764706,0.9,0.9,0.5796078431372549,0.38529805915261794,0.00882101058959961,0.006333112716674805
MeanWhile1,MLP,0.9019607843137255,0.8823529411764706,0.11764705882352941,0.9,0.9,0.7403921568627451,0.3114540319126042,0.1877913475036621,0.0082550048828125
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.8698630136986302,0.9006849315068494,0.8561643835616438,0.8556701030927835,0.8625429553264605,0.8689850774372735,0.016666200470707604,0.05407404899597168,0.010373353958129883
